codice,nome,cognome,citta,eta,importo
C001,Marta,Bellini,Genova,34,1200.00
C002,Luca,Ferraro,Torino,29,340.50
C003,Sofia,Riva,Milano,41,87.90
C004,Andrea,Costa,Genova,17,55.00
C005,Giulia,Moretti,Bologna,52,2310.75
C006,Paolo,Vitale,Napoli,23,410.00
C007,Elena,Fabbri,Genova,38,75.25
C008,Marco,Sartori,Verona,61,1890.00
C009,Chiara,Longo,Milano,16,120.00
C010,Davide,Rinaldi,Torino,45,640.40
C011,Alice,Grassi,Padova,27,99.99
C012,Simone,Palmieri,Genova,33,1520.10
C013,Federica,Coppola,Bari,49,260.00
C014,Tommaso,Barbieri,Milano,19,48.00
C015,Irene,Mancini,Firenze,36,780.60
C016,Nicola,Gatti,Genova,58,3050.00
C017,Serena,De Luca,Napoli,24,133.30
C018,Alberto,Pagano,Trieste,47,920.00
C019,Valentina,Testa,Milano,31,66.70
C020,Stefano,Neri,Genova,15,210.00
